MatchID,Map,AverageRank,EconRating,FirstBloods,SpikePlants,Kills,Deaths,KD_Ratio,TeamWin
VAL-00001,Pearl,Gold,58,13,2,66,69,0.96,0
VAL-00002,Split,Silver,71,11,3,56,65,0.86,0
VAL-00003,Lotus,Gold,55,11,8,73,61,1.2,1
VAL-00004,Icebox,Platinum,53,14,10,64,54,1.19,1
VAL-00005,Pearl,Silver,36,10,6,62,73,0.85,1
VAL-00006,Haven,Silver,45,14,4,75,72,1.04,0
VAL-00007,Pearl,Silver,59,9,3,47,58,0.81,1
VAL-00008,Lotus,Diamond,58,9,12,68,68,1.0,1
VAL-00009,Icebox,Silver,62,7,6,46,66,0.7,0
VAL-00010,Split,Platinum,60,5,2,62,66,0.94,0
VAL-00011,Lotus,Gold,54,13,7,62,51,1.22,0
VAL-00012,Lotus,Diamond,43,4,7,65,51,1.27,0
VAL-00013,Haven,Ascendant,55,13,10,44,58,0.76,0
VAL-00014,Breeze,Silver,54,12,3,64,64,1.0,0
VAL-00015,Icebox,Gold,71,20,10,74,78,0.95,1
VAL-00016,Bind,Diamond,71,14,11,56,45,1.24,1
VAL-00017,Lotus,Gold,49,14,7,55,71,0.77,0
VAL-00018,Breeze,Silver,48,9,9,56,47,1.19,1
VAL-00019,Bind,Diamond,39,10,9,70,62,1.13,1
VAL-00020,Icebox,Immortal,53,10,5,54,42,1.29,1
VAL-00021,Ascent,Platinum,49,12,3,58,74,0.78,0
VAL-00022,Breeze,Gold,86,10,5,70,63,1.11,1
VAL-00023,Sunset,Gold,42,14,2,53,64,0.83,0
VAL-00024,Ascent,Silver,56,10,8,71,68,1.04,1
VAL-00025,Haven,Diamond,47,16,12,56,57,0.98,1
VAL-00026,Pearl,Diamond,55,9,4,60,43,1.4,1
VAL-00027,Split,Diamond,51,15,6,70,42,1.67,1
VAL-00028,Sunset,Silver,65,20,6,70,66,1.06,0
VAL-00029,Haven,Platinum,60,19,13,57,57,1.0,0
VAL-00030,Icebox,Silver,64,9,6,52,72,0.72,0
VAL-00031,Haven,Gold,46,17,10,75,60,1.25,1
VAL-00032,Pearl,Diamond,68,3,7,59,67,0.88,0
VAL-00033,Icebox,Silver,49,6,0,66,69,0.96,0
VAL-00034,Sunset,Platinum,38,14,5,68,69,0.99,0
VAL-00035,Pearl,Platinum,53,14,10,54,58,0.93,1
VAL-00036,Bind,Ascendant,56,14,6,48,61,0.79,1
VAL-00037,Split,Diamond,40,10,9,67,68,0.99,0
VAL-00038,Sunset,Diamond,65,8,12,47,63,0.75,1
VAL-00039,Bind,Gold,45,5,9,51,42,1.21,0
VAL-00040,Sunset,Silver,45,9,5,68,38,1.79,0
VAL-00041,Icebox,Gold,55,15,9,65,54,1.2,1
VAL-00042,Bind,Gold,65,15,8,64,69,0.93,1
VAL-00043,Split,Platinum,40,13,10,56,60,0.93,0
VAL-00044,Pearl,Platinum,66,13,7,73,76,0.96,1
VAL-00045,Lotus,Gold,29,19,5,52,68,0.76,0
VAL-00046,Haven,Gold,59,18,9,41,47,0.87,1
VAL-00047,Ascent,Silver,41,16,9,44,70,0.63,0
VAL-00048,Split,Platinum,45,17,5,62,48,1.29,1
VAL-00049,Bind,Platinum,76,13,2,60,77,0.78,0
VAL-00050,Lotus,Platinum,43,14,6,68,65,1.05,0
VAL-00051,Split,Gold,54,9,3,67,74,0.91,0
VAL-00052,Bind,Gold,42,14,6,60,66,0.91,0
VAL-00053,Breeze,Diamond,64,9,9,47,60,0.78,0
VAL-00054,Breeze,Diamond,60,17,1,55,61,0.9,0
VAL-00055,Split,Gold,62,14,8,55,51,1.08,1
VAL-00056,Breeze,Platinum,69,10,8,76,62,1.23,1
VAL-00057,Bind,Gold,51,15,4,59,61,0.97,0
VAL-00058,Bind,Platinum,68,16,8,70,66,1.06,0
VAL-00059,Split,Diamond,73,9,11,62,58,1.07,1
VAL-00060,Lotus,Platinum,58,11,8,59,51,1.16,0
VAL-00061,Pearl,Gold,42,8,13,55,60,0.92,0
VAL-00062,Sunset,Gold,41,12,7,65,52,1.25,1
VAL-00063,Lotus,Platinum,60,17,10,50,51,0.98,1
VAL-00064,Icebox,Platinum,42,12,13,60,47,1.28,1
VAL-00065,Bind,Platinum,39,14,9,61,59,1.03,1
VAL-00066,Icebox,Platinum,66,10,12,62,61,1.02,1
VAL-00067,Lotus,Silver,49,15,8,52,55,0.95,0
VAL-00068,Sunset,Ascendant,84,12,11,56,64,0.88,1
VAL-00069,Sunset,Diamond,47,15,4,63,59,1.07,0
VAL-00070,Ascent,Gold,49,15,7,62,57,1.09,1
VAL-00071,Sunset,Platinum,59,8,13,73,71,1.03,1
VAL-00072,Pearl,Silver,57,9,2,58,54,1.07,0
VAL-00073,Sunset,Silver,54,10,5,48,57,0.84,0
VAL-00074,Lotus,Gold,54,19,13,55,63,0.87,1
VAL-00075,Ascent,Platinum,94,17,7,50,67,0.75,1
VAL-00076,Lotus,Diamond,75,12,7,76,49,1.55,0
VAL-00077,Lotus,Platinum,65,23,10,68,61,1.11,1
VAL-00078,Haven,Gold,40,7,11,64,59,1.08,1
VAL-00079,Ascent,Gold,54,11,6,64,67,0.96,0
VAL-00080,Lotus,Silver,63,17,2,59,54,1.09,1
VAL-00081,Haven,Silver,64,12,4,46,60,0.77,0
VAL-00082,Haven,Diamond,70,9,5,56,76,0.74,0
VAL-00083,Ascent,Ascendant,47,14,3,36,56,0.64,0
VAL-00084,Icebox,Gold,55,23,4,67,71,0.94,1
VAL-00085,Pearl,Platinum,46,9,7,61,56,1.09,0
VAL-00086,Sunset,Ascendant,71,9,4,61,59,1.03,0
VAL-00087,Pearl,Silver,63,8,12,53,56,0.95,1
VAL-00088,Sunset,Diamond,49,10,6,59,50,1.18,0
VAL-00089,Lotus,Platinum,58,16,2,66,50,1.32,1
VAL-00090,Bind,Platinum,56,18,11,64,67,0.96,1
VAL-00091,Ascent,Gold,44,7,13,49,55,0.89,0
VAL-00092,Pearl,Platinum,66,14,6,53,53,1.0,1
VAL-00093,Pearl,Diamond,56,15,8,67,53,1.26,1
VAL-00094,Lotus,Silver,49,9,11,57,44,1.3,1
VAL-00095,Icebox,Gold,44,15,6,78,54,1.44,1
VAL-00096,Haven,Silver,65,14,13,50,58,0.86,1
VAL-00097,Lotus,Diamond,58,16,2,58,50,1.16,1
VAL-00098,Breeze,Gold,47,3,7,56,63,0.89,0
VAL-00099,Haven,Diamond,49,13,5,58,59,0.98,0
VAL-00100,Ascent,Gold,55,15,4,50,53,0.94,0
